Code;Français;Deutsch;Italiano;English
A;Maladies cardiaques;Erkrankungen des Herzens;Cardiopatie;Cardiac diseases
B;Maladies du système nerveux, AVC;Erkrankungen des Nervensystems, Schlaganfall (Stroke);Malattie del sistema nervoso, ictus;Nervous system diseases, stroke
C;Médecine gériatrique;Altersmedizin;Medicina geriatrica;Geriatric medicine
D;Maladies pulmonaires;Erkrankungen der Lunge;Malattie polmonari;Pulmonary diseases
E;Maladies des organes abdominaux;Erkrankungen der Bauchorgane;Malattie degli organi addominali;Abdominal organ diseases
F;Affections des vaisseaux;Gefässerkrankungen;Malattie vascolari;Vascular diseases
G;Gynécologie et obstétrique;Geburtshilfe und Frauenheilkunde;Ginecologia e ostetricia;Gynecology & obstetrics
H;Maladies des voies urinaires et organes génitaux masculins;Erkrankungen der Harnwege und männlichen Geschlechtsorgane;Malattie vie urinarie e organi genitali maschili;Urinary & male genital diseases
I;Maladies des os, articulations et tissu conjonctif;Erkrankungen von Knochen, Gelenken und Bindegewebe;Malattie ossa, articolazioni e tessuto connettivo;Bones, joints & connective tissue
J;Affections complexes, hétérogènes (peer review);Komplexe, heterogene Krankheitsbilder (Peer Review);Quadri clinici complessi ed eterogenei (peer review);Complex/heterogeneous cases
K;Affections de la peau;Hautkrankheiten;Malattie della pelle;Skin diseases
L;Médecine hautement spécialisée;Hochspezialisierte Medizin;Medicina altamente specializzata;Highly specialized medicine
M;Médecine palliative;Palliativmedizin;Medicina palliativa;Palliative medicine
N;Chirurgie robotisée;Roboterassistierte Eingriffe;Chirurgia robotica;Robotic surgery
Y;COVID-19;COVID-19;COVID-19;COVID-19
Z;Informations supplémentaires;Zusatzinformationen;Informazioni supplementari;Supplementary information
