code;description_de;description_fr;description_it;description_en
A.3.1.F;Fälle mit Katheter der Koronargefässe (Alter >19);Cas avec cathétérisme des vaisseaux coronaires (âge >19);Casi con catetere dei vasi coronarici (età >19);Cases with catheterization of coronary vessels (age >19)
A.3.6.F;Fälle mit Herzkathetern bei Kindern und Jugendlichen (Alter <20);Cas avec cathétérisme cardiaque chez l'enfant et l'adolescent (âge <20);Casi con cateterismo cardiaco su bambini e adolescenti (età <20);Cases with cardiac catheterization in children and adolescents (age <20)
A.4.1.F;HD Herzrhythmusstörungen;DP troubles du rythme cardiaque;DP disturbi del ritmo cardiaco;Primary diagnosis: cardiac arrhythmias
A.5.1.F;Schrittmacherversorgung (Implantationen und Wechsel, inkl. Defibrillatoren);Traitement par pacemaker (implantation et changement, défibrillateur inclus);Trattamento con pacemaker (impianto e sostituzione, incluso defibrillatore);Pacemaker therapy (implantations and replacements, incl. defibrillators)
A.5.2.F;Implantation oder Wechsel eines Defibrillators;Implantation et changement de défibrillateur;Impianto e sostituzione di defibrillatore;Implantation or replacement of a defibrillator
A.6.1.F;Kathetergestützte ablative Therapie;Ablation par cathéter;Terapia ablativa supportata da catetere;Catheter-based ablative therapy
A.6.2.F;Chirurgisch ablative Therapie;Ablation chirurgicale;Terapia ablativa chirurgica;Surgical ablative therapy
A.7.1.F;OP am Herzen insgesamt;Total des OP du cœur;OP al cuore, totale;Heart surgery overall
A.7.2.F;OP an Herzklappen;OP des valves cardiaques;OP alle valvole cardiache;Heart valve surgery
A.7.24.F;Offener Aortenklappenersatz insgesamt (Alter >19);Total des remplacements de valve aortique à cœur ouvert (âge >19);Sostituzioni della valvola aortica a cuore aperto (età >19), totale;Open aortic valve replacement overall (age >19)
A.7.3.F;OP an Koronargefässen;OP des vaisseaux coronaires;OP ai vasi coronarici;Coronary artery surgery
A.7.4.F;Andere OP am Herzen;Autres OP du cœur;Altre OP al cuore;Other heart surgery
A.7.5.F;Kombinierte OP am Herzen;OP combinée du cœur;OP combinata al cuore;Combined heart surgery
A.7.6.F;OP am Herzen bei Kindern und Jugendlichen (Alter <20);OP du cœur chez l'enfant et l'adolescent (âge <20);OP al cuore di bambini o adolescenti (età <20);Heart surgery in children and adolescents (age <20)
B.2.3.F;Neurologische oder andere Komplexbehandlung (Stroke Unit);Traitement complexe neurologique ou autre (unité cérébro­vasculaire);Trattamento neurologico o altro trattamento complesso (Stroke Unit);Neurological or other complex treatment (stroke unit)
B.2.7.F;Neurologische oder andere Komplexbehandlung (Stroke Unit) bei anderen Diagnosen oder Alter <20;Traitement complexe neurologique ou autre (unité cérébro­vasculaire) en cas d’autre diagnostic ou âge <20;Trattamento neurologico o altro trattamento complesso (Stroke Unit) in caso di altre diagnosi o età <20;Neurological or other complex treatment (stroke unit) with other diagnoses or age <20
B.3.1.F;HD bösartige Neubildungen des Gehirns oder der Hirnhäute;DP tumeurs malignes de l'encéphale ou des méninges cérébrales;DP tumori maligni del cervello o delle meningi;Primary diagnosis: malignant neoplasms of brain or meninges
B.4.1.F;Stationäre Behandlungen wegen HD Epilepsie (Alter >19);Traitements hospitaliers en cas de DP épilepsie (âge >19);Cure ospedaliere in caso di DP epilessia (età >19);Inpatient treatment for epilepsy (age >19)
B.4.2.F;Stationäre Behandlungen wegen HD Epilepsie (Alter <20);Traitements hospitaliers en cas de DP épilepsie (âge <20);Cure ospedaliere in caso di DP epilessia (età <20);Inpatient treatment for epilepsy (age <20)
B.5.1.F;Stationäre Behandlungen wegen HD Multiple Sklerose;Traitements hospitaliers en cas de DP sclérose en plaques;Cure ospedaliere in caso di DP sclerosi multipla;Inpatient treatment for multiple sclerosis
C.1.1.F;Geriatrische Frührehabilitation;Rééducation gériatrique précoce;Riabilitazione geriatrica precoce;Early geriatric rehabilitation
D.3.1.F;Stationäre Behandlungen wegen HD Lungenkrebs;Traitements hospitaliers en cas de DP cancer du poumon;Cure ospedaliere in caso di DP cancro polmonare;Inpatient treatment for lung cancer
E.3.1.F;Resektion der Schilddrüse;Résections thyroïdiennes;Resezione della tiroide;Thyroid resection
E.3.3.F;Radiojodtherapie;Radiothérapie par iode radioactif;Radioiodioterapia;Radioiodine therapy
E.3.4.F;Resektion der Schilddrüse bei bösartigen Neubildungen der Schilddrüse;Résections thyroïdiennes en cas de tumeurs malignes de la thyroïde;Resezione della tiroide per tumori maligni della tiroide;Thyroid resection for malignant thyroid neoplasms
E.3.5.F;Resektion der Schilddrüse bei gutartiger Erkrankung der Schilddrüse;Résections thyroïdiennes pour affections bénignes de la thyroïde;Resezione della tiroide per malattie benigne della tiroide;Thyroid resection for benign thyroid disease
E.4.11.F;Stationäre Behandlungen wegen HD kolorektales Karzinom;Traitements hospitaliers en cas de DP carcinome colorectal;Cure ospedaliere per DP carcinoma colorettale;Inpatient treatment for colorectal carcinoma
E.4.12.F;Stationäre Behandlungen bei Colitis ulcerosa oder Morbus Crohn (als HD oder ND);Traitements hospitaliers en cas de colite ulcéreuse ou maladie de Crohn (DP ou DS);Cure ospedaliere per colite ulcerosa o morbo di Crohn (DP o DS);Inpatient treatment for ulcerative colitis or Crohn’s disease (as primary or secondary diagnosis)
E.5.1.F;Magenresektionen insgesamt;Total des gastrectomies;Resezioni gastriche, totale;Gastrectomies overall
E.5.4.F;Stationäre Behandlungen wegen HD Magenkarzinom;Traitements hospitaliers en cas de DP cancer de l'estomac;Cure ospedaliere in caso di DP carcinoma dello stomaco;Inpatient treatment for gastric carcinoma
F.1.4.F;Intrakranielle perkutan­transluminale Gefässinterventionen;Interventions vasculaires percutanées transluminales intracrâniennes;Interventi vascolari percutanei transluminali intracranici;Intracranial percutaneous transluminal vascular interventions
F.2.1.F;OP an der Aorta insgesamt;Total des OP de l'aorte;OP all'aorta, totale;Aortic surgery overall
F.2.4.F;Resektion/Ersatz der thorakalen/thorakoabdominalen Aorta (ohne klappentragende Prothesen);Résection/remplacement de l'aorte thoracique/thoraco­abdominale (sans prothèse vasculaire avec valve);Resezione/sostituzione dell'aorta toracica/toracicoaddominale (senza protesi valvolare);Resection/replacement of thoracic/thoracoabdominal aorta (without valve-bearing prostheses)
F.2.7.F;Resektion/Ersatz der abdominalen Aorta;Résection/remplacement de l'aorte abdominale;Resezione/sostituzione dell'aorta addominale;Resection/replacement of abdominal aorta
F.3.8.F;OP an Becken­/Beinarterien kombiniert mit Aorten­OP;OP des artères du bassin/des jambes combinée à une OP de l'aorte;OP alle arterie del bacino/delle gambe combinata con OP aortica;Pelvic/leg artery surgery combined with aortic surgery
F.3.9.F;OP an Becken­/Beinarterien bei anderen komplexen Diagnosen;OP des artères du bassin/des jambes en cas d'autre diagnostic complexe;OP alle arterie del bacino/delle gambe in caso di altre diagnosi complesse;Pelvic/leg artery surgery for other complex diagnoses
F.5.2.F;PTA abdominale/Beinarterien (ohne Aorta) mit OP an Becken­/Beinarterien;ATP des artères de l'abdomen/des jambes (hormis aorte) avec OP des artères du bassin/des jambes;PTA di arterie addominali/delle gambe (senza aorta) con OP alle arterie del bacino/delle gambe;PTA of abdominal/leg arteries (excluding aorta) with pelvic/leg artery surgery
F.5.3.F;Aneurysma/Dissektion der Becken­/Beinarterien mit OP;Anévrisme/dissection des artères du bassin/des jambes avec OP;Aneurisma/dissezione delle arterie del bacino/delle gambe con OP;Aneurysm/dissection of pelvic/leg arteries with surgery
F.6.1.F;Anlegen eines arteriovenösen Shunts (innere AV­Fistel);Insertion de shunt artério­veineux (fistule AV interne);Posizionamento di shunt arteriovenoso (fistola AV interna);Creation of an arteriovenous shunt (internal AV fistula)
G.1.1.F;Stationäre Geburten;Accouchements hospitaliers;Parti ospedalieri;Inpatient births
G.2.1.F;Neugeborene <1250 g;Nouveau­nés <1250 g;Neonati <1250 g;Newborns <1250 g
G.2.2.F;Neugeborene <1250 g, Zuverlegungen;Nouveau­nés <1250 g, transféré d'un autre hôpital;Neonati <1250 g, trasferiti da un altro ospedale;Newborns <1250 g, transferred
G.2.3.F;Neugeborene <500 g;Nouveau­nés <500 g;Neonati <500 g;Newborns <500 g
G.2.4.F;Neugeborene 500-749 g;Nouveau­nés 500-749 g;Neonati 500-749 g;Newborns 500–749 g
G.2.5.F;Neugeborene 750-999 g;Nouveau­nés 750-999 g;Neonati 750-999 g;Newborns 750–999 g
G.2.6.F;Neugeborene 1000-1249 g;Nouveau­nés 1000-1249 g;Neonati 1000-1249 g;Newborns 1000–1249 g
G.2.7.F;Neugeborene 1250-1499 g;Nouveau­nés 1250-1499 g;Neonati 1250-1499 g;Newborns 1250–1499 g
G.2.8.F;Neugeborene 1500-2499 g;Nouveau­nés 1500-2499 g;Neonati 1500-2499 g;Newborns 1500–2499 g
G.2.9.F;Neugeborene >2499 g oder ohne Gewichtsangabe;Nouveau­nés >2499 g ou sans indication de poids;Neonati >2499 g o senza indicazione del peso;Newborns >2499 g or weight not specified
G.4.1.F;Stationäre Behandlungen wegen HD Brustkrebs;Traitements hospitaliers en cas de DP cancer du sein;Cure ospedaliere in caso di DP cancro al seno;Inpatient treatment for breast cancer
G.4.2.F;HD bösartige Neubildungen der Mamma und weiblichen Geschlechtsorgane;DP tumeurs malignes du sein et des organes génitaux féminins;DP tumori maligni della mammella e degli organi genitali femminili;Primary diagnosis: malignant neoplasms of breast and female genital organs
G.4.3.F;Stationäre Behandlungen wegen HD bösartige Neubildungen der Ovarien;Traitements hospitaliers en cas de DP tumeurs malignes des ovaires;Cure ospedaliere in caso di DP tumori maligni delle ovaie;Inpatient treatment for malignant ovarian neoplasms
G.4.5.F;Stationäre Behandlungen wegen HD bösartige Neubildungen des Uterus;Traitements hospitaliers en cas de DP tumeurs malignes de l'utérus;Cure ospedaliere in caso di DP tumori maligni dell'utero;Inpatient treatment for malignant uterine neoplasms
G.5.1.F;Eingriffe an der Brust insgesamt (Mammaresektionen und ­plastiken);Total des interventions sur le sein (résections et plasties mammaires);Interventi al seno (resezioni e plastiche mammarie), totale;Breast surgery overall (mastectomies and plastic surgery)
G.5.2.F;Resektionen der Mamma bei Brustkrebs;Résections mammaires en cas de cancer du sein;Resezione mammaria in caso di cancro al seno;Mastectomies for breast cancer
G.6.1.F;Suspensions-OP und Plastiken im Bereich des Beckenbodens insgesamt;Total des OP de suspension et plasties du plancher pelvien;OP di sospensione e plastiche nella regione del pavimento pelvico, totale;Pelvic floor suspension surgery and reconstructions overall
G.6.2.F;OP bei Genitalprolaps;OP en cas de prolapsus génital;OP per prolasso genitale;Surgery for genital prolapse
G.6.3.F;OP bei Inkontinenz, ohne Genitalprolaps;OP en cas d'incontinence, sans prolapsus génital;OP per incontinenza, senza prolasso genitale;Surgery for incontinence, without genital prolapse
G.6.4.F;OP im Bereich des Beckenbodens bei anderer Diagnose;Interventions sur le plancher pelvien pour autre diagnostic;OP nella regione del pavimento pelvico per altra diagnosi;Pelvic floor surgery for other diagnoses
H.2.1.F;HD Nierensteine;DP calculs rénaux;DP calcoli ai reni;Primary diagnosis: kidney stones
H.3.1.F;HD Malignom der Blase;DP tumeur maligne de la vessie;DP tumore maligno alla vescica;Primary diagnosis: bladder cancer
H.3.2.F;TUR der Blase insgesamt;Total des RTU de vessie;TUR della vescica, totale;TUR of bladder overall
H.3.3.F;TUR der Blase bei Malignom;RTU de vessie en cas de tumeur maligne;TUR della vescica in caso di tumore maligno;TUR of bladder for malignancy
H.5.1.F;HD Prostatakarzinom;DP carcinome de la prostate;DP carcinoma prostatico;Primary diagnosis: prostate cancer
I.2.16.F;Lokale Schmerztherapie an der Wirbelsäule, ohne OP an der Wirbelsäule;Traitement local des douleurs de la colonne vertébrale, sans OP de la colonne vertébrale;Terapia locale del dolore alla colonna vertebrale, senza OP alla colonna vertebrale;Local pain therapy of the spine, without spine surgery
I.2.17.F;Stationäre Behandlungen bei HD Erkrankung der Wirbelsäule, ohne OP oder lokale Schmerztherapie an der Wirbelsäule;Traitements hospitaliers en cas de DP maladies de la colonne vertébrale, sans OP ou traitement local des douleurs de la colonne;Cure ospedaliere in caso di DP malattia della colonna vertebrale, senza OP o terapia locale del dolore alla colonna vertebrale;Inpatient treatment for spinal disease, without surgery or local pain therapy
I.2.3.F;OP an der Wirbelsäule und am Rückenmark, ohne isolierte lokale Schmerztherapie;OP de la colonne vertébrale et de la moelle épinière, sans traitement local des douleurs isolé;OP alla colonna vertebrale e al midollo spinale, senza terapia locale del dolore isolata;Surgery of spine and spinal cord, without isolated local pain therapy
I.2.4.F;OP am Rückenmark/Spinalkanal, ohne isolierte lokale Schmerztherapie;OP de la moelle épinière/du canal rachidien, sans traitement local des douleurs isolé;OP al midollo spinale/canale vertebrale, senza terapia locale del dolore isolata;Surgery of spinal cord/spinal canal, without isolated local pain therapy
I.3.22.F;Versorgung bei hüftgelenknaher Fraktur gemäss G-BA Richtlinie (Alter >17);Traitement en cas de fracture métaphysaire de la hanche selon la directive du G-BA (âge >17);Trattamento in caso di frattura vicino all'articolazione dell'anca secondo le direttive del Gemeinsamer Bundesausschuss (G-BA) (età >17);Treatment of hip fracture per G-BA guideline (age >17)
