code;de;fr;it;en
A.1.1.M;HD Herzinfarkt (Alter >19), Mortalität;DP infarctus du myocarde (âge >19), mortalité;DP infarto miocardico (età >19), mortalità;PD myocardial infarction (age >19), mortality
A.1.1.MrG;HD Herzinfarkt (Alter >19), Mortalität;DP infarctus du myocarde (âge >19), mortalité;DP infarto miocardico (età >19), mortalità;PD myocardial infarction (age >19), mortality
A.1.10.M;HD transmuraler Herzinfarkt/STEMI (Alter >19), Mortalität;DP infarctus du myocarde transmural/STEMI (âge >19), mortalité;DP infarto miocardico transmurale/STEMI (età >19), mortalità;PD transmural myocardial infarction/STEMI (age >19), mortality
A.1.11.M;HD nicht-transmuraler Infarkt/NSTEMI (Alter >19), Mortalität;DP infarctus non transmural/NSTEMI (âge >19), mortalité;DP infarto miocardico non transmurale/NSTEMI (età >19), mortalità;PD non-transmural infarction/NSTEMI (age >19), mortality
A.1.13.M;ND Herzinfarkt (Alter >19), Mortalität;DS infarctus du myocarde (âge >19), mortalité;DS infarto miocardico (età >19), mortalità;SD myocardial infarction (age >19), mortality
A.1.18.M;HD Herzinfarkt mit Herz-Kreislauf-Stillstand vor Aufnahme (Alter >19), Mortalität;DP infarctus du myocarde avec arrêt cardio-circulatoire avant l’admission (âge >19), mortalité;DP infarto miocardico con arresto cardiocircolatorio precedente l’ammissione (età >19), mortalità;PD myocardial infarction with cardiovascular arrest before admission (age >19), mortality
A.1.2.M;HD Herzinfarkt, Alter 20-44, Mortalität;DP infarctus du myocarde, âge 20-44, mortalité;DP infarto miocardico, età 20-44, mortalità;PD myocardial infarction, age 20-44, mortality
A.1.3.M;HD Herzinfarkt, Alter 45-64, Mortalität;DP infarctus du myocarde, âge 45-64, mortalité;DP infarto miocardico, età 45-64, mortalità;PD myocardial infarction, age 45-64, mortality
A.1.4.M;HD Herzinfarkt, Alter 65-84, Mortalität;DP infarctus du myocarde, âge 65-84, mortalité;DP infarto miocardico, età 65-84, mortalità;PD myocardial infarction, age 65-84, mortality
A.1.5.M;HD Herzinfarkt, Alter >84, Mortalität;DP infarctus du myocarde, âge >84, mortalité;DP infarto miocardico, età >84, mortalità;PD myocardial infarction, age >84, mortality
A.1.7.M;HD Herzinfarkt (Alter >19), Direktaufnahmen, Mortalität;DP infarctus du myocarde (âge >19), admissions directes, mortalité;DP infarto miocardico (età >19), ammissioni dirette, mortalità;PD myocardial infarction (age >19), direct admissions, mortality
A.1.8.M;HD Herzinfarkt (Alter >19), Zuverlegungen, Mortalität;DP infarctus du myocarde (âge >19), transféré d'un autre hôpital, mortalité;DP infarto miocardico (età >19), trasferito da un altro ospedale, mortalità;PD myocardial infarction (age >19), transferred from another hospital, mortality
A.2.1.M;HD Herzinsuffizienz (Alter >19), Mortalität;DP insuffisance cardiaque (âge >19), mortalité;DP insufficienza cardiaca (età >19), mortalità;PD heart failure (age >19), mortality
A.2.1.MrG;HD Herzinsuffizienz (Alter >19), Mortalität;DP insuffisance cardiaque (âge >19), mortalité;DP insufficienza cardiaca (età >19), mortalità;PD heart failure (age >19), mortality
A.2.2.M;HD Herzinsuffizienz, Alter 20-44, Mortalität;DP insuffisance cardiaque, âge 20-44, mortalité;DP insufficienza cardiaca, età 20-44, mortalità;PD heart failure, age 20-44, mortality
A.2.3.M;HD Herzinsuffizienz, Alter 45-64, Mortalität;DP insuffisance cardiaque, âge 45-64, mortalité;DP insufficienza cardiaca, età 45-64, mortalità;PD heart failure, age 45-64, mortality
A.2.4.M;HD Herzinsuffizienz, Alter 65-84, Mortalität;DP insuffisance cardiaque, âge 65-84, mortalité;DP insufficienza cardiaca, età 65-84, mortalità;PD heart failure, age 65-84, mortality
A.2.5.M;HD Herzinsuffizienz, Alter >84, Mortalität;DP insuffisance cardiaque, âge >84, mortalité;DP insufficienza cardiaca, età >84, mortalità;PD heart failure, age >84, mortality
A.2.8.M;HD Herzinsuffizienz mit Herz-Kreislauf-Stillstand vor Aufnahme (Alter >19), Mortalität;DP insuffisance cardiaque avec arrêt cardio-circulatoire avant l’admission (âge >19), mortalité;DP insufficienza cardiaca con arresto cardiocircolatorio precedente l’ammissione (età >19), mortalità;PD heart failure with cardiovascular arrest before admission (age >19), mortality
A.2.9.M;HD Herzinsuffizienz mit intensivmedizinischer Therapie (Alter >19), Mortalität;DP insuffisance cardiaque avec traitement de médecine intensive (âge >19), mortalité;DP insufficienza cardiaca con terapia intensiva (età >19), mortalità;PD heart failure with intensive care treatment (age >19), mortality
A.3.10.M;Katheter der Koronargefässe bei HD Herzinfarkt ohne OP am Herzen, mit Herz-Kreislauf-Stillstand vor Aufnahme (Alter >19), Mortalität;Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur, avec arrêt cardio-circulatoire avant l’admission (âge >19), mortalité;Catetere dei vasi coronarici con DP infarto miocardico senza OP al cuore, con arresto cardiocircolatorio precedente l’ammissione (età >19), mortalità;Catheterization of coronary vessels in cases with PD myocardial infarction without heart surgery, with cardiovascular arrest before admission (age >19), mortality
A.3.11.M;Diagnostische Katheter der Koronargefässe ohne HD Herzinfarkt oder OP am Herzen (Alter >19), Zuverlegungen, Mortalität;Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;Catetere diagnostico dei vasi coronarici senza DP infarto miocardico o OP al cuore (età >19), trasferito da un altro ospedale, mortalità;Diagnostic catheterization of coronary vessels without PD myocardial infarction or heart surgery (age >19), transferred from another hospital, mortality
A.3.12.M;Diagnostische Katheter der Koronargefässe ohne HD Herzinfarkt oder OP am Herzen, mit Herz-Kreislauf-Stillstand vor Aufnahme (Alter >19), Mortalität;Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur, avec arrêt cardio-circulatoire avant l’admission (âge >19), mortalité;Catetere diagnostico dei vasi coronarici senza DP infarto miocardico o OP al cuore, con arresto cardiocircolatorio precedente l’ammissione (età >19), mortalità;Diagnostic catheterization of coronary vessels without PD myocardial infarction or heart surgery, with cardiovascular arrest before admission (age >19), mortality
