code;German;French;Italian
A.3.1.F;Fälle mit Katheter der Koronargefässe (Alter >19);Cas avec cathétérisme des vaisseaux coronaires (âge >19);Casi con catetere dei vasi coronarici (età >19)
A.3.6.F;Fälle mit Herzkathetern bei Kindern und Jugendlichen (Alter <20);Cas avec cathétérisme cardiaque chez l'enfant et l'adolescent (âge <20);Casi con cateterismo cardiaco su bambini e adolescenti (età <20)
A.4.1.F;HD Herzrhythmusstörungen;DP troubles du rythme cardiaque;DP disturbi del ritmo cardiaco
A.5.1.F;Schrittmacherversorgung (Implantationen und Wechsel, inkl. Defibrillatoren);Traitement par pacemaker (implantation et changement, défibrillateur inclus);Trattamento con pacemaker (impianto e sostituzione, incluso defibrillatore)
A.5.2.F;Implantation oder Wechsel eines Defibrillators;Implantation et changement de défibrillateur;Impianto e sostituzione di defibrillatore
A.6.1.F;Kathetergestützte ablative Therapie;Ablation par cathéter;Terapia ablativa supportata da catetere
A.6.2.F;Chirurgisch ablative Therapie;Ablation chirurgicale;Terapia ablativa chirurgica
A.7.1.F;OP am Herzen insgesamt;Total des OP du cœur;OP al cuore, totale
A.7.2.F;OP an Herzklappen;OP des valves cardiaques;OP alle valvole cardiache
A.7.24.F;Offener Aortenklappenersatz insgesamt (Alter >19);Total des remplacements de valve aortique à cœur ouvert (âge >19);Sostituzioni della valvola aortica a cuore aperto (età >19), totale
A.7.3.F;OP an Koronargefässen;OP des vaisseaux coronaires;OP ai vasi coronarici
A.7.4.F;Andere OP am Herzen;Autres OP du cœur;Altre OP al cuore
A.7.5.F;Kombinierte OP am Herzen;OP combinée du cœur;OP combinata al cuore
A.7.6.F;OP am Herzen bei Kindern und Jugendlichen (Alter <20);OP du cœur chez l'enfant et l'adolescent (âge <20);OP al cuore di bambini o adolescenti (età <20)
B.2.3.F;Neurologische oder andere Komplexbehandlung (Stroke Unit);Traitement complexe neurologique ou autre (unité cérébro­vasculaire);Trattamento neurologico o altro trattamento complesso (Stroke Unit)
B.2.7.F;Neurologische oder andere Komplexbehandlung (Stroke Unit) bei anderen Diagnosen oder Alter <20;Traitement complexe neurologique ou autre (unité cérébro­vasculaire) en cas d’autre diagnostic ou âge <20;Trattamento neurologico o altro trattamento complesso (Stroke Unit) in caso di altre diagnosi o età <20
B.3.1.F;HD bösartige Neubildungen des Gehirns oder der Hirnhäute;DP tumeurs malignes de l'encéphale ou des méninges cérébrales;DP tumori maligni del cervello o delle meningi
B.4.1.F;Stationäre Behandlungen wegen HD Epilepsie (Alter >19);Traitements hospitaliers en cas de DP épilepsie (âge >19);Cure ospedaliere in caso di DP epilessia (età >19)
B.4.2.F;Stationäre Behandlungen wegen HD Epilepsie (Alter <20);Traitements hospitaliers en cas de DP épilepsie (âge <20);Cure ospedaliere in caso di DP epilessia (età <20)
B.5.1.F;Stationäre Behandlungen wegen HD Multiple Sklerose;Traitements hospitaliers en cas de DP sclérose en plaques;Cure ospedaliere in caso di DP sclerosi multipla
C.1.1.F;Geriatrische Frührehabilitation;Rééducation gériatrique précoce;Riabilitazione geriatrica precoce
D.3.1.F;Stationäre Behandlungen wegen HD Lungenkrebs;Traitements hospitaliers en cas de DP cancer du poumon;Cure ospedaliere in caso di DP cancro polmonare
E.3.1.F;Resektion der Schilddrüse;Résections thyroïdiennes;Resezione della tiroide
E.3.3.F;Radiojodtherapie;Radiothérapie par iode radioactif;Radioiodioterapia
E.3.4.F;Resektion der Schilddrüse bei bösartigen Neubildungen der Schilddrüse;Résections thyroïdiennes en cas de tumeurs malignes de la thyroïde;Resezione della tiroide per tumori maligni della tiroide
E.3.5.F;Resektion der Schilddrüse bei gutartiger Erkrankung der Schilddrüse;Résections thyroïdiennes pour affections bénignes de la thyroïde;Resezione della tiroide per malattie benigne della tiroide
E.4.11.F;Stationäre Behandlungen wegen HD kolorektales Karzinom;Traitements hospitaliers en cas de DP carcinome colorectal;Cure ospedaliere per DP carcinoma colorettale
E.4.12.F;Stationäre Behandlungen bei Colitis ulcerosa oder Morbus Crohn (als HD oder ND);Traitements hospitaliers en cas de colite ulcéreuse ou maladie de Crohn (DP ou DS);Cure ospedaliere per colite ulcerosa o morbo di Crohn (DP o DS)
E.5.1.F;Magenresektionen insgesamt;Total des gastrectomies;Resezioni gastriche, totale
E.5.4.F;Stationäre Behandlungen wegen HD Magenkarzinom;Traitements hospitaliers en cas de DP cancer de l'estomac;Cure ospedaliere in caso di DP carcinoma dello stomaco
F.1.4.F;Intrakranielle perkutan­transluminale Gefässinterventionen;Interventions vasculaires percutanées transluminales intracrâniennes;Interventi vascolari percutanei transluminali intracranici
F.2.1.F;OP an der Aorta insgesamt;Total des OP de l'aorte;OP all'aorta, totale
F.2.4.F;Resektion/Ersatz der thorakalen/thorakoabdominalen Aorta (ohne klappentragende Prothesen);Résection/remplacement de l'aorte thoracique/thoraco­abdominale (sans prothèse vasculaire avec valve);Resezione/sostituzione dell'aorta toracica/toracicoaddominale (senza protesi valvolare)
F.2.7.F;Resektion/Ersatz der abdominalen Aorta;Résection/remplacement de l'aorte abdominale;Resezione/sostituzione dell'aorta addominale
F.3.8.F;OP an Becken­/Beinarterien kombiniert mit Aorten­OP;OP des artères du bassin/des jambes combinée à une OP de l'aorte;OP alle arterie del bacino/delle gambe combinata con OP aortica
F.3.9.F;OP an Becken­/Beinarterien bei anderen komplexen Diagnosen;OP des artères du bassin/des jambes en cas d'autre diagnostic complexe;OP alle arterie del bacino/delle gambe in caso di altre diagnosi complesse
F.5.2.F;PTA abdominale/Beinarterien (ohne Aorta) mit OP an Becken­/Beinarterien;ATP des artères de l'abdomen/des jambes (hormis aorte) avec OP des artères du bassin/des jambes;PTA di arterie addominali/delle gambe (senza aorta) con OP alle arterie del bacino/delle gambe
F.5.3.F;Aneurysma/Dissektion der Becken­/Beinarterien mit OP;Anévrisme/dissection des artères du bassin/des jambes avec OP;Aneurisma/dissezione delle arterie del bacino/delle gambe con OP
F.6.1.F;Anlegen eines arteriovenösen Shunts (innere AV­Fistel);Insertion de shunt artério­veineux (fistule AV interne);Posizionamento di shunt arteriovenoso (fistola AV interna)
G.1.1.F;Stationäre Geburten;Accouchements hospitaliers;Parti ospedalieri
G.2.1.F;Neugeborene <1250 g;Nouveau­nés <1250 g;Neonati <1250 g
G.2.2.F;Neugeborene <1250 g, Zuverlegungen;Nouveau­nés <1250 g, transféré d'un autre hôpital;Neonati <1250 g, trasferiti da un altro ospedale
G.2.3.F;Neugeborene <500 g;Nouveau­nés <500 g;Neonati <500 g
G.2.4.F;Neugeborene 500-749 g;Nouveau­nés 500-749 g;Neonati 500-749 g
G.2.5.F;Neugeborene 750-999 g;Nouveau­nés 750-999 g;Neonati 750-999 g
G.2.6.F;Neugeborene 1000-1249 g;Nouveau­nés 1000-1249 g;Neonati 1000-1249 g
G.2.7.F;Neugeborene 1250-1499 g;Nouveau­nés 1250-1499 g;Neonati 1250-1499 g
G.2.8.F;Neugeborene 1500-2499 g;Nouveau­nés 1500-2499 g;Neonati 1500-2499 g
G.2.9.F;Neugeborene >2499 g oder ohne Gewichtsangabe;Nouveau­nés >2499 g ou sans indication de poids;Neonati >2499 g o senza indicazione del peso
