institution;indicator;taux observé 2018-2022;taux attendu 2018-2022;SMR 2018-2022;nombre de cas 2018-2022;taux observé 2023;taux attendu 2023;SMR 2023;nombre de cas 2023
Les Hôpitaux Universitaires de Genève HUG;A Maladies cardiaques; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;A.1 Infarctus du myocarde; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;A.1.1.M DP infarctus du myocarde (âge >19), mortalité;4.9%;4.7%;1.1;2'844;4.9%;4.1%;1.2;570
Les Hôpitaux Universitaires de Genève HUG;A.1.2.M DP infarctus du myocarde, âge 20-44, mortalité;0.7%;0.9%;0.8;141;0.0%;0.9%;0.0;23
Les Hôpitaux Universitaires de Genève HUG;A.1.3.M DP infarctus du myocarde, âge 45-64, mortalité;1.6%;1.7%;0.9;1'131;3.8%;1.3%;2.8;210
Les Hôpitaux Universitaires de Genève HUG;A.1.4.M DP infarctus du myocarde, âge 65-84, mortalité;6.1%;4.8%;1.3;1'138;3.4%;3.9%;0.9;266
Les Hôpitaux Universitaires de Genève HUG;A.1.5.M DP infarctus du myocarde, âge >84, mortalité;12.0%;13.4%;0.9;434;15.5%;13.9%;1.1;71
Les Hôpitaux Universitaires de Genève HUG;A.1.7.M DP infarctus du myocarde (âge >19), admissions directes, mortalité;4.9%;4.9%;1.0;2'755;4.8%;4.2%;1.1;562
Les Hôpitaux Universitaires de Genève HUG;A.1.8.M DP infarctus du myocarde (âge >19), transféré d'un autre hôpital, mortalité;4.5%;3.7%;1.2;89;*;*;*;8
Les Hôpitaux Universitaires de Genève HUG;A.1.18.M DP infarctus du myocarde (âge >19), réanimation avant admission, mortalité;30.2%;32.9%;0.9;53;33.3%;28.1%;1.2;24
Les Hôpitaux Universitaires de Genève HUG;A.1.14.P DP infarctus du myocarde avec cathétérisme des vaisseaux coronaires (âge >19), pourcentage;85.8%;65.9%;*;2'439;83.0%;67.7%;*;473
Les Hôpitaux Universitaires de Genève HUG;A.1.15.P DP infarctus du myocarde avec cathétérisme des vaisseaux coronaires (âge >19), admissions directes, pourcentage;85.8%;62.6%;*;2'363;83.1%;65.1%;*;467
Les Hôpitaux Universitaires de Genève HUG;A.1.16.P DP infarctus du myocarde avec cathétérisme des vaisseaux coronaires (âge >19), transféré d'un autre hôpital, pourcentage;85.4%;77.6%;*;76;*;*;*;6
Les Hôpitaux Universitaires de Genève HUG;A.1.17.P DP infarctus du myocarde avec cathétérisme cardiaque ou OP coronarienne (âge >19), admissions directes, pourcentage;86.1%;63.0%;*;2'372;84.2%;65.4%;*;473
Les Hôpitaux Universitaires de Genève HUG;A.1.9.P Infarctus aigu du myocarde non précisé (âge >19), pourcentage;1.2%;1.7%;*;35;1.9%;1.8%;*;11
Les Hôpitaux Universitaires de Genève HUG;A.1.10.M Infarctus du myocarde transmural (âge >19), mortalité;6.2%;6.5%;1.0;1'235;7.9%;6.1%;1.3;240
Les Hôpitaux Universitaires de Genève HUG;A.1.10.P Infarctus du myocarde transmural (âge >19), pourcentage;43.5%;41.8%;*;1'235;42.3%;41.0%;*;240
Les Hôpitaux Universitaires de Genève HUG;A.1.11.M Infarctus non transmural/NSTEMI (âge >19), mortalité;3.8%;2.8%;1.4;1'570;2.5%;2.4%;1.1;317
Les Hôpitaux Universitaires de Genève HUG;A.1.13.M DS infarctus du myocarde (âge >19), mortalité;16.5%;14.6%;1.1;1'232;16.8%;13.7%;1.2;268
Les Hôpitaux Universitaires de Genève HUG;A.2 Insuffisance cardiaque; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;A.2.1.M DP insuffisance cardiaque (âge >19), mortalité;7.2%;7.9%;0.9;6'511;6.8%;7.7%;0.9;1'341
Les Hôpitaux Universitaires de Genève HUG;A.2.2.M DP insuffisance cardiaque, âge 20-44, mortalité;2.0%;2.9%;0.7;50;0.0%;1.9%;0.0;17
Les Hôpitaux Universitaires de Genève HUG;A.2.3.M DP insuffisance cardiaque, âge 45-64, mortalité;1.2%;2.5%;0.5;499;1.1%;2.2%;0.5;94
Les Hôpitaux Universitaires de Genève HUG;A.2.4.M DP insuffisance cardiaque, âge 65-84, mortalité;4.9%;6.2%;0.8;2'815;5.4%;6.1%;0.9;558
Les Hôpitaux Universitaires de Genève HUG;A.2.5.M DP insuffisance cardiaque, âge >84, mortalité;10.4%;10.4%;1.0;3'147;8.9%;9.8%;0.9;672
Les Hôpitaux Universitaires de Genève HUG;A.2.6.P NYHA IV en cas de DP insuffisance ventriculaire gauche (âge >19), pourcentage;59.8%;55.6%;*;1'296;56.5%;58.9%;*;213
Les Hôpitaux Universitaires de Genève HUG;A.3 Cathétérisme cardiaque; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;A.3.1.F Cas avec cathétérisme des vaisseaux coronaires (âge >19);*;*;*;6'071;*;*;*;1'188
Les Hôpitaux Universitaires de Genève HUG;A.3.2.M Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur (âge >19), mortalité;3.6%;3.3%;1.1;2'286;3.9%;2.9%;1.3;431
Les Hôpitaux Universitaires de Genève HUG;A.3.9.M Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;0.0%;2.9%;0.0;70;*;*;*;6
Les Hôpitaux Universitaires de Genève HUG;A.3.10.M Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur (âge >19), réanimation avant admission, mortalité;27.9%;28.8%;1.0;43;33.3%;23.7%;1.4;21
Les Hôpitaux Universitaires de Genève HUG;A.3.4.M Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), mortalité;2.5%;1.8%;1.3;2'191;1.9%;1.9%;1.0;427
Les Hôpitaux Universitaires de Genève HUG;A.3.11.M Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;0.0%;2.6%;0.0;47;*;*;*;3
Les Hôpitaux Universitaires de Genève HUG;A.3.12.M Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), réanimation avant admission, mortalité;34.2%;34.7%;1.0;38;*;*;*;7
Les Hôpitaux Universitaires de Genève HUG;A.3.7.M Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité;2.2%;1.4%;1.5;1'926;1.1%;1.7%;0.7;354
Les Hôpitaux Universitaires de Genève HUG;A.3.5.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), mortalité;4.2%;1.2%;3.4;731;5.0%;1.0%;4.8;121
Les Hôpitaux Universitaires de Genève HUG;A.3.5.P Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), pourcentage;24.4%;47.3%;*;731;21.8%;52.8%;*;121
Les Hôpitaux Universitaires de Genève HUG;A.3.13.M Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;*;*;*;6;*;*;*;0
